transaction_id,user_id,amount,status,failure_reason,refund_time_hrs,hour_of_day,fraud_flag
TXN1,1102,9215,success,NA,0,12,1
TXN2,1435,4777,success,NA,0,6,0
TXN3,1860,4015,success,NA,0,9,0
TXN4,1270,5736,success,NA,0,3,0
TXN5,1106,9292,success,NA,0,21,0
TXN6,1071,3751,success,NA,0,19,0
TXN7,1700,2830,failed,bank,0,15,0
TXN8,1020,7448,success,NA,0,19,0
TXN9,1614,1638,success,NA,0,5,0
TXN10,1121,2418,success,NA,0,8,0
TXN11,1466,5839,success,NA,0,12,0
TXN12,1214,486,success,NA,0,6,0
TXN13,1330,2878,success,NA,0,17,0
TXN14,1458,1606,success,NA,0,13,0
TXN15,1087,7620,success,NA,0,21,0
TXN16,1372,7530,success,NA,0,4,0
TXN17,1099,9546,success,NA,0,21,0
TXN18,1871,232,failed,network,0,12,0
TXN19,1663,7240,success,NA,0,23,0
TXN20,1130,6737,success,NA,0,7,0
TXN21,1661,5615,success,NA,0,14,0
TXN22,1308,7291,success,NA,0,18,0
TXN23,1769,7701,failed,NA,0,8,0
TXN24,1343,5625,success,NA,0,5,0
TXN25,1491,1639,success,NA,0,22,0
TXN26,1413,9829,success,NA,0,13,0
TXN27,1805,8901,success,NA,0,22,0
TXN28,1385,209,success,NA,0,9,0
TXN29,1191,6605,success,NA,0,8,0
TXN30,1955,9253,failed,user,0,16,0
TXN31,1276,8294,failed,fraud,0,12,0
TXN32,1160,6896,success,NA,0,16,0
TXN33,1459,2357,success,NA,0,18,0
TXN34,1313,1278,failed,NA,0,12,0
TXN35,1021,7276,success,NA,0,8,1
TXN36,1252,5640,success,NA,0,0,0
TXN37,1747,6969,success,NA,0,0,0
TXN38,1856,5635,failed,bank,2,4,0
TXN39,1560,9277,failed,bank,2,7,0
TXN40,1474,6096,success,NA,0,17,0
TXN41,1058,4995,success,NA,0,3,0
TXN42,1510,7977,success,NA,0,21,0
TXN43,1681,7066,success,NA,0,0,0
TXN44,1475,7808,success,NA,0,14,0
TXN45,1699,5136,success,NA,0,19,0
TXN46,1975,9506,success,NA,0,3,0
TXN47,1782,7211,failed,fraud,24,8,0
TXN48,1189,1934,success,NA,0,21,0
TXN49,1957,1859,success,NA,0,23,0
TXN50,1686,3217,success,NA,0,19,0
TXN51,1957,6402,success,NA,0,9,0
TXN52,1562,9059,success,NA,0,23,0
TXN53,1875,6106,pending,network,0,14,0
TXN54,1566,2487,failed,NA,0,2,0
TXN55,1243,6518,success,NA,0,1,0
TXN56,1831,9130,success,NA,0,21,0
TXN57,1504,6001,failed,bank,0,4,0
TXN58,1130,5326,success,NA,0,23,0
TXN59,1484,8909,success,NA,0,0,0
TXN60,1818,7868,success,NA,0,10,0
TXN61,1646,4778,failed,NA,6,11,0
TXN62,1020,2674,success,NA,0,2,0
TXN63,1840,5788,success,NA,0,22,0
TXN64,1166,4282,failed,bank,12,15,0
TXN65,1273,5843,success,NA,0,13,0
TXN66,1387,4573,success,NA,0,11,0
TXN67,1600,5621,success,NA,0,19,0
TXN68,1315,9060,failed,user,12,15,0
TXN69,1013,9348,success,NA,0,20,0
TXN70,1241,2274,pending,bank,0,7,0
TXN71,1776,8439,success,NA,0,16,0
TXN72,1345,6141,success,NA,0,16,0
TXN73,1564,8712,pending,NA,0,6,0
TXN74,1897,6411,success,NA,0,14,0
TXN75,1339,1998,success,NA,0,8,0
TXN76,1091,7144,success,NA,0,3,0
TXN77,1366,6368,success,NA,0,7,0
TXN78,1955,3846,success,NA,0,9,0
TXN79,1454,284,success,NA,0,14,0
TXN80,1427,9170,success,NA,0,22,0
TXN81,1508,3657,failed,bank,0,17,0
TXN82,1775,8093,success,NA,0,13,0
TXN83,1942,572,pending,NA,0,4,0
TXN84,1034,5954,success,NA,0,8,0
TXN85,1205,4938,success,NA,0,12,0
TXN86,1080,9871,success,NA,0,18,0
TXN87,1931,5882,success,NA,0,10,0
TXN88,1561,7172,success,NA,0,11,0
TXN89,1871,5892,success,NA,0,2,0
TXN90,1387,1366,failed,NA,0,1,1
TXN91,1001,1174,pending,bank,0,22,0
TXN92,1389,5671,success,NA,0,21,0
TXN93,1565,5473,failed,NA,6,14,0
TXN94,1105,2637,success,NA,0,4,0
TXN95,1771,9265,success,NA,0,6,0
TXN96,1821,5722,failed,user,0,3,0
TXN97,1476,1428,success,NA,0,4,0
TXN98,1702,3424,success,NA,0,15,0
TXN99,1401,1569,success,NA,0,14,1
TXN100,1729,5827,success,NA,0,15,0
TXN101,1555,7985,success,NA,0,3,0
TXN102,1161,6143,success,NA,0,5,0
TXN103,1201,8468,pending,network,0,17,0
TXN104,1957,5405,success,NA,0,2,0
TXN105,1995,5018,success,NA,0,21,0
TXN106,1269,9133,success,NA,0,23,0
TXN107,1862,5624,success,NA,0,4,0
TXN108,1815,4122,success,NA,0,1,0
TXN109,1270,2307,success,NA,0,22,0
TXN110,1455,8638,failed,NA,12,15,0
TXN111,1461,4474,failed,fraud,2,5,0
TXN112,1726,3287,failed,NA,24,14,0
TXN113,1251,3943,failed,network,0,17,0
TXN114,1701,2055,success,NA,0,5,0
